Customer Id,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
FCGAZMWMSV6P,31,Government Sector,Yes,1200000,5,1,No,No,Yes
Z11I50XDD8UE,31,Private Sector/Self Employed,Yes,1350000,7,0,Yes,Yes,Yes
WBYC551M495E,28,Private Sector/Self Employed,Yes,900000,6,1,Yes,No,No
7Y1B6DWT0TR3,31,Private Sector/Self Employed,Yes,900000,3,0,No,No,No
9EWMT28HKTN1,32,Government Sector,Yes,800000,5,1,No,No,Yes
9NHYYUK3P8UC,28,Private Sector/Self Employed,Yes,1450000,6,1,Yes,Yes,Yes
KRG9K0BLYPRI,28,Private Sector/Self Employed,Yes,700000,7,0,No,No,No
RBLZQ2ZBFLO2,33,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,Yes
OWODE71KAGJO,27,Private Sector/Self Employed,No,1550000,6,0,Yes,No,Yes
RUXJPKPSNUOY,33,Government Sector,Yes,1000000,5,0,No,No,No
2S6L8EQ8IX0X,25,Private Sector/Self Employed,No,1700000,5,0,Yes,No,Yes
IRSWT8OV2DZV,25,Private Sector/Self Employed,Yes,1400000,5,0,Yes,Yes,Yes
PAH16MK735V7,32,Government Sector,Yes,350000,7,0,No,No,No
VDREY7XS9X8G,28,Government Sector,No,300000,4,0,No,No,No
JOZCT9FSZCZQ,34,Private Sector/Self Employed,Yes,1000000,6,1,No,No,Yes
DW2V4CCHJ2JO,34,Private Sector/Self Employed,Yes,1000000,5,1,No,No,No
RQYJDCF0QJ66,25,Private Sector/Self Employed,No,1150000,4,0,No,No,No
9BDFE63SVQXP,34,Private Sector/Self Employed,Yes,1000000,4,0,No,No,Yes
NTCZ1VASS96D,28,Private Sector/Self Employed,No,550000,6,0,No,No,Yes
395AC6UMN3CS,33,Private Sector/Self Employed,Yes,550000,3,1,No,No,Yes
80JBDT8899DD,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,No
V2913QBY31KP,34,Private Sector/Self Employed,Yes,1050000,4,1,No,No,No
Z2LR93XAC6XJ,28,Government Sector,Yes,1100000,4,0,No,No,No
J296X1QEFL3B,28,Private Sector/Self Employed,Yes,800000,8,1,No,No,No
Z243F3FCW7V7,35,Government Sector,Yes,1100000,5,0,No,No,No
1F2JD77MY44V,29,Private Sector/Self Employed,Yes,900000,9,1,No,No,Yes
KN7VWIK6YYMU,26,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,Yes
SJ2MDAV9L9H9,25,Private Sector/Self Employed,No,1150000,4,0,No,No,No
NACWDD7AUCQG,32,Government Sector,Yes,850000,4,0,No,No,No
I9C567TF025W,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,Yes
SVRGN2MXQYBD,29,Private Sector/Self Employed,Yes,1200000,8,0,Yes,No,No
E6AR2CQ0XF1F,28,Private Sector/Self Employed,Yes,1100000,6,0,No,No,No
9BAHPI3430JV,28,Private Sector/Self Employed,Yes,500000,4,1,No,No,No
L408VQ51UA87,31,Private Sector/Self Employed,Yes,1650000,2,0,Yes,No,Yes
UVVTIYLQGS1S,31,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,Yes
P80S0ELY7Z8Q,26,Private Sector/Self Employed,Yes,1500000,6,0,Yes,Yes,Yes
NS62G0W299XB,29,Private Sector/Self Employed,Yes,1050000,6,1,No,Yes,No
QC51LNHV84CK,27,Government Sector,Yes,500000,2,1,No,No,Yes
2J4NNVRYTM1T,31,Private Sector/Self Employed,Yes,1250000,4,0,No,No,No
K0XJ0FGLQSQI,32,Government Sector,Yes,800000,4,1,No,No,No
STB3ZVRBCXAB,31,Private Sector/Self Employed,Yes,900000,5,1,No,No,No
HJW524RBX8P1,31,Government Sector,Yes,400000,5,0,No,No,No
4VL68Z8JYS0N,31,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,Yes
0X6BF28YUEUT,26,Private Sector/Self Employed,Yes,600000,6,0,Yes,No,No
57MSW2P5NXCZ,28,Private Sector/Self Employed,Yes,700000,5,0,No,No,No
CHRF7RJH6T95,28,Private Sector/Self Employed,Yes,800000,4,1,No,No,No
RNPHN2F71QLL,34,Private Sector/Self Employed,Yes,850000,5,1,Yes,No,No
F47LUQ5YFJCY,28,Government Sector,Yes,300000,4,0,No,No,No
1HHDSR1R70KM,28,Private Sector/Self Employed,Yes,500000,5,0,No,No,Yes
VT003VON6HT9,33,Government Sector,Yes,1100000,4,0,No,No,Yes
OAVS90B5E352,32,Government Sector,Yes,850000,4,0,Yes,No,No
K4S983CRWHR6,28,Government Sector,Yes,300000,4,0,No,No,No
YKQNNUL7189Z,29,Private Sector/Self Employed,Yes,1350000,4,0,No,Yes,Yes
ORE3Z8CQM24K,31,Government Sector,No,300000,4,0,No,No,No
LGOX40QS6I5L,34,Private Sector/Self Employed,Yes,850000,5,0,No,No,No
V9L20VO8D8V1,25,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,Yes
2TALTHBIAHZN,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,No
V0YT6UAEQSF1,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,Yes
AX8WBGNK8PA9,34,Private Sector/Self Employed,Yes,1300000,4,1,No,No,No
IMVKXBTAC5M2,27,Government Sector,Yes,500000,5,0,No,No,No
8VBUY0QP92KF,26,Private Sector/Self Employed,Yes,1300000,7,0,No,No,Yes
CC3HJU51BNSV,26,Private Sector/Self Employed,Yes,1500000,6,0,Yes,Yes,Yes
PZS9GAC536HH,29,Private Sector/Self Employed,Yes,1750000,6,0,No,No,No
9Q6OOQE2GSP1,34,Private Sector/Self Employed,Yes,1300000,6,0,No,No,Yes
88GOV0OMNBBW,35,Private Sector/Self Employed,No,800000,3,0,Yes,No,No
V97JQZLTT0ZJ,26,Private Sector/Self Employed,Yes,1500000,2,1,Yes,Yes,Yes
P9I2GMPPX7TC,29,Private Sector/Self Employed,Yes,600000,4,0,Yes,No,Yes
BQJCU2TJS28V,28,Private Sector/Self Employed,Yes,1150000,4,0,No,No,No
OVGHFCFEQRAH,28,Private Sector/Self Employed,Yes,1200000,6,1,No,No,No
U77EUSR2SSXV,34,Private Sector/Self Employed,Yes,700000,3,0,Yes,No,No
U52C8JMBP8DC,33,Private Sector/Self Employed,Yes,750000,4,1,No,No,No
NHYXVV7XDD8L,31,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,Yes
01GXHT0JBWA8,27,Government Sector,Yes,900000,4,0,No,No,No
TUEIS8UYGJEH,28,Private Sector/Self Employed,Yes,700000,4,0,No,No,No
Y5AB04269B78,33,Private Sector/Self Employed,Yes,550000,7,1,Yes,No,Yes
K2PDGRMI5RU9,29,Private Sector/Self Employed,Yes,1100000,7,0,No,No,Yes
TCPZ2Z5EFSJ5,35,Private Sector/Self Employed,No,800000,4,1,No,No,No
OAYNR5FJP10O,29,Private Sector/Self Employed,Yes,1100000,3,0,No,No,No
4FDPE15BEJWL,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,No
WKIP4YNHW4R8,28,Private Sector/Self Employed,Yes,750000,6,1,No,No,No
EHL7P9Z6AVDQ,28,Private Sector/Self Employed,Yes,550000,6,0,Yes,No,No
HPSOL3Z0F59A,33,Private Sector/Self Employed,Yes,550000,6,0,No,No,Yes
3BFX6GV23UMF,25,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,Yes
AQ5IHWRU4JBA,33,Government Sector,Yes,650000,9,1,No,No,No
G6CV73DDR4G9,28,Private Sector/Self Employed,Yes,600000,3,0,No,No,No
5MJ3LWM3N126,25,Private Sector/Self Employed,No,1150000,5,0,Yes,No,No
6O6OH0V1VOZZ,31,Government Sector,Yes,1300000,3,1,No,No,Yes
46J90MYGWU6L,26,Private Sector/Self Employed,Yes,1300000,4,0,No,No,Yes
BLF6OIIT9WG9,33,Government Sector,Yes,400000,4,1,No,No,No
M6S4VLHFDMQC,25,Private Sector/Self Employed,No,1150000,5,1,No,No,No
D0WBPIGIIXNT,25,Private Sector/Self Employed,Yes,1700000,3,0,Yes,No,Yes
7NHL8KPR5HGS,35,Private Sector/Self Employed,No,800000,3,0,No,No,Yes
1MK94215L5E4,28,Private Sector/Self Employed,Yes,750000,5,0,No,No,No
55ZFN1L5K9C1,35,Private Sector/Self Employed,No,600000,9,0,No,No,No
1XG2FI0BI4Y5,28,Private Sector/Self Employed,Yes,700000,3,0,No,No,No
8VW8EEU6UL6N,34,Private Sector/Self Employed,Yes,1050000,8,1,No,No,Yes
C9IECF5NEO82,32,Government Sector,Yes,850000,3,1,No,No,No
2FAO63UW5UXH,35,Private Sector/Self Employed,No,800000,5,0,No,No,No
4RVY6UPLYSMC,35,Government Sector,Yes,1100000,4,1,No,No,No
8JK4ZH3C8OI8,28,Private Sector/Self Employed,Yes,550000,7,0,No,No,No
C19DLMBLO726,34,Government Sector,Yes,1100000,7,1,No,No,Yes
VASTLRCHRS85,27,Government Sector,Yes,850000,3,0,No,No,No
YDVRPHA8N6TM,29,Private Sector/Self Employed,Yes,1200000,9,0,No,No,No
H9YYH34BFP85,28,Government Sector,Yes,300000,4,0,No,No,No
FXBH4VSOAM8F,30,Private Sector/Self Employed,No,800000,4,0,No,No,No
BJWGEHUHST5P,26,Private Sector/Self Employed,Yes,500000,4,0,No,No,No
0HUQ7BBV07TY,27,Government Sector,Yes,1050000,3,0,Yes,No,Yes
8T10HGG2GTAN,26,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,Yes
VCXF98FGRKON,33,Government Sector,Yes,700000,4,0,No,No,No
E5YUCOBYLFK0,29,Private Sector/Self Employed,Yes,1100000,4,0,No,No,No
Q0ZKWYHLTHI7,34,Private Sector/Self Employed,Yes,500000,5,0,No,No,No
KBRCPFUPSM4N,30,Private Sector/Self Employed,No,800000,6,0,Yes,No,No
L7ESX94KZK26,28,Private Sector/Self Employed,Yes,700000,4,0,No,No,No
N4PPW8ADHY7H,31,Private Sector/Self Employed,Yes,1350000,3,0,No,Yes,Yes
6B7O98Y0XTWS,34,Private Sector/Self Employed,Yes,1050000,3,0,No,No,No
6MIVKI6PUVF1,26,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,Yes
JKDP995TOMY7,31,Private Sector/Self Employed,Yes,1350000,5,0,No,Yes,Yes
4CUAR2UVPLW4,30,Private Sector/Self Employed,No,1450000,6,0,Yes,Yes,Yes
DEEGRYWO3M7P,28,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,Yes
HHJBTVX4KO1E,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,Yes
BOYKZNCTS9ZR,31,Government Sector,Yes,400000,3,0,No,No,No
WTF5RNV8XFM5,31,Government Sector,Yes,1200000,6,1,No,No,No
PDR52XY4ZAG4,28,Private Sector/Self Employed,Yes,1150000,4,0,No,No,No
VDIXDRCSVAOY,28,Private Sector/Self Employed,Yes,750000,2,0,No,No,Yes
D6WI7GJGI2BM,26,Private Sector/Self Employed,Yes,600000,3,0,No,No,No
9W3EUR1EQD5R,28,Private Sector/Self Employed,Yes,1150000,7,0,No,No,No
HI3XL0AD6H3N,28,Private Sector/Self Employed,Yes,1450000,9,0,Yes,Yes,Yes
6TJZ6BCUQ975,26,Private Sector/Self Employed,Yes,500000,7,0,No,No,No
6BM8N7JUI1VD,34,Private Sector/Self Employed,Yes,1050000,6,0,No,No,Yes
ELJSB6WVA1G4,33,Government Sector,Yes,1100000,5,0,No,No,No
OEI0UAZ2ST6P,29,Private Sector/Self Employed,Yes,900000,4,0,Yes,No,No
9YUQ1EUY7YD4,28,Private Sector/Self Employed,Yes,1250000,5,0,Yes,No,No
E6NV5KVWMTL8,28,Private Sector/Self Employed,Yes,650000,5,0,Yes,No,No
Y0KYZ9ZG2B9K,32,Government Sector,Yes,800000,3,0,Yes,No,Yes
AIJP4ZFGCIAM,28,Private Sector/Self Employed,Yes,800000,3,1,No,No,No
DI7UG8WFKFD3,31,Private Sector/Self Employed,Yes,1250000,7,0,No,No,No
MNHI16IXZ2CP,28,Government Sector,Yes,300000,5,0,No,No,No
QPS5T4GXV9N6,33,Government Sector,Yes,1100000,2,1,No,Yes,No
EJB256ADEUIA,34,Government Sector,Yes,1300000,2,0,No,No,No
55HWYDPIHQP8,34,Private Sector/Self Employed,Yes,1000000,9,1,No,No,No
70KFPGRLGN4W,33,Private Sector/Self Employed,Yes,550000,5,0,Yes,No,No
U770KCTI10EM,31,Government Sector,No,400000,7,1,No,No,No
2WZ3PBS9CG7U,34,Government Sector,Yes,1300000,5,1,No,No,Yes
MXQFXYCT5WPI,28,Private Sector/Self Employed,Yes,1250000,7,0,No,No,No
T9SODY5XGDND,26,Private Sector/Self Employed,Yes,450000,7,0,No,No,Yes
AJ86591VJOOL,34,Private Sector/Self Employed,No,1400000,7,1,No,Yes,Yes
B7ZV72QD07NH,33,Private Sector/Self Employed,Yes,750000,2,1,No,No,No
7Y3048XQGNLE,27,Government Sector,Yes,500000,4,0,No,No,No
56DYCM5G6BV4,28,Government Sector,Yes,300000,7,0,No,No,No
XDFC0CTLGF7Y,33,Government Sector,Yes,400000,4,0,No,No,No
PS3T4EYQJCKI,28,Private Sector/Self Employed,Yes,1150000,6,0,No,No,Yes
82WCORXFXEGO,31,Private Sector/Self Employed,Yes,900000,5,0,No,No,No
QWS3X5XWF18H,34,Private Sector/Self Employed,Yes,1000000,5,1,No,No,No
ZV4Y7TZYDQTS,34,Private Sector/Self Employed,Yes,1300000,3,0,No,No,No
J2DOZF9LLCF6,28,Private Sector/Self Employed,Yes,700000,5,0,No,No,No
11ZC80ZYON90,27,Government Sector,Yes,500000,4,0,No,No,No
XFXD8T4UHK9J,33,Government Sector,Yes,1750000,6,0,No,No,Yes
PI2IOKZ44BU3,31,Government Sector,Yes,400000,9,1,No,No,No
PNOWXEYS18YH,29,Private Sector/Self Employed,Yes,1350000,5,0,No,Yes,Yes
QDWRM6V2Z75F,35,Private Sector/Self Employed,No,800000,6,0,Yes,No,Yes
PG8R0U9PXP3M,29,Private Sector/Self Employed,Yes,350000,3,0,No,No,Yes
TN37H4G2Z5CG,31,Government Sector,Yes,1300000,3,1,No,No,No
CZRQGV4W09T2,33,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,Yes
IV4581VPYH3Q,34,Private Sector/Self Employed,Yes,1500000,6,1,Yes,Yes,Yes
0LLZCF5K8515,28,Private Sector/Self Employed,Yes,1200000,4,0,No,No,No
WYB11U14LMJG,26,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,Yes
IJ71910EF9V1,28,Private Sector/Self Employed,No,550000,4,0,No,No,No
CB4YULQ03UJZ,32,Government Sector,Yes,800000,9,0,No,Yes,Yes
M8ZHY4XOAZ6P,32,Government Sector,Yes,850000,6,0,No,No,Yes
DONYZEJ95XGR,31,Private Sector/Self Employed,Yes,500000,6,1,No,No,No
K1JHOFVWZZ58,34,Private Sector/Self Employed,Yes,1500000,4,1,Yes,Yes,Yes
A5IEPNYZS1C4,35,Private Sector/Self Employed,No,800000,2,0,No,Yes,No
3YWKMBSQY18F,28,Government Sector,Yes,1200000,4,0,No,No,Yes
LNBXY8VALG6P,32,Government Sector,Yes,900000,5,0,Yes,No,No
UIGVNY9H2YO4,34,Private Sector/Self Employed,Yes,1000000,6,0,Yes,No,Yes
K28CF6BTAZ6U,29,Private Sector/Self Employed,Yes,1050000,3,0,No,No,No
UJC58Y2VXKPM,28,Government Sector,Yes,1200000,4,0,No,No,Yes
GPKUSXKHRR0R,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,Yes
KK2M836404M8,27,Private Sector/Self Employed,No,350000,4,0,No,No,No
942EFRCG9QA2,31,Private Sector/Self Employed,Yes,1350000,6,0,No,Yes,Yes
T0HUPNS3B6GU,28,Private Sector/Self Employed,Yes,650000,5,0,No,Yes,No
3FWH2QFQ5LVH,34,Private Sector/Self Employed,Yes,700000,6,0,No,No,Yes
BXHGFOPLKP3X,34,Private Sector/Self Employed,Yes,700000,7,1,No,No,Yes
KNSZT9OOTO44,26,Private Sector/Self Employed,Yes,450000,3,0,No,No,No
876Z3L12AWTA,30,Private Sector/Self Employed,No,750000,3,1,No,No,Yes
18FGOGZBT1Q5,30,Private Sector/Self Employed,No,550000,8,0,No,No,No
9ZT1MTRYPF3B,26,Private Sector/Self Employed,Yes,600000,3,0,No,No,No
ZE1CZOGTSBXQ,31,Government Sector,Yes,1200000,7,1,No,No,No
DF42F751XUB6,31,Government Sector,No,400000,4,1,No,No,No
QPU8MH7LQDEU,25,Private Sector/Self Employed,No,1150000,4,0,Yes,No,No
CYWCEV9GBL77,31,Government Sector,No,300000,4,0,No,No,No
6QGHU8NH0GR0,26,Private Sector/Self Employed,Yes,1400000,7,1,No,Yes,Yes
JFKG8RHGYE6D,25,Private Sector/Self Employed,No,1150000,8,0,No,No,No
8HQK9239HJVG,29,Private Sector/Self Employed,Yes,1200000,5,1,No,No,No
H13WX6VI9NA0,34,Private Sector/Self Employed,Yes,1050000,6,0,No,Yes,Yes
DYXJU42LNQ7N,31,Private Sector/Self Employed,Yes,1350000,9,1,No,Yes,Yes
31GIP18YBKOV,28,Private Sector/Self Employed,Yes,1200000,4,0,No,No,No
RQ6AHMYNXXES,32,Government Sector,Yes,850000,5,1,No,No,No
6WSOJ6MAAZK2,28,Private Sector/Self Employed,Yes,1250000,3,1,No,No,Yes
U94R5WPWN17N,32,Government Sector,Yes,850000,9,0,No,No,No
WC6CS7412X3D,30,Private Sector/Self Employed,No,1450000,9,0,Yes,Yes,Yes
4LG5SUHAHX2U,28,Private Sector/Self Employed,Yes,1150000,7,1,No,No,No
KBSPTSWNT9SL,25,Private Sector/Self Employed,No,1150000,6,0,No,No,Yes
Z7HQP4U7U7OB,31,Government Sector,No,400000,4,1,No,No,No
BHU6KFB1XR9B,31,Private Sector/Self Employed,Yes,1250000,5,0,No,No,No
WSEG996JOQUQ,31,Government Sector,Yes,400000,6,0,No,No,No
JE7RIW3XC4H2,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,No
OSXEQ6WFKUXA,25,Private Sector/Self Employed,No,600000,3,1,No,No,No
EJCQDY0IHVL9,25,Private Sector/Self Employed,No,600000,4,0,Yes,No,No
BGL7EKGK40L3,33,Private Sector/Self Employed,Yes,1400000,8,1,No,Yes,Yes
S5DPBYWTAP7U,28,Private Sector/Self Employed,Yes,550000,3,0,No,No,No
YKCRZB13TDUU,31,Government Sector,Yes,400000,3,0,No,No,No
PNUHTV2726LL,25,Private Sector/Self Employed,No,1150000,3,0,No,No,No
3EN1164P1KWG,33,Government Sector,Yes,650000,4,0,No,No,Yes
QPTLLLSE0J6L,29,Private Sector/Self Employed,Yes,350000,4,0,No,No,No
P82LJQHVWE0O,33,Government Sector,Yes,600000,8,0,No,No,Yes
OHLAQTG5H168,33,Private Sector/Self Employed,Yes,750000,5,0,No,No,No
13SB9VVVG5OE,28,Private Sector/Self Employed,Yes,800000,4,0,Yes,No,No
9TNUNW3S1OI0,34,Private Sector/Self Employed,Yes,700000,3,0,No,No,Yes
OBDNYYY0HEWG,28,Private Sector/Self Employed,Yes,550000,8,1,No,No,No
L9GB7O7OFYM6,29,Private Sector/Self Employed,Yes,1100000,7,1,Yes,No,Yes
P5RO98BKO921,31,Government Sector,Yes,400000,5,0,No,No,No
9CPI1A9FYAVC,34,Private Sector/Self Employed,Yes,1050000,3,1,No,No,No
RDFNLW02H8H5,34,Government Sector,Yes,1300000,3,0,No,No,No
4XUZQJUAQMOJ,28,Private Sector/Self Employed,Yes,800000,6,1,No,No,No
00LZDZZCALIA,34,Private Sector/Self Employed,Yes,850000,5,1,No,No,No
893FLB5A7HZ8,34,Private Sector/Self Employed,Yes,700000,5,0,No,No,No
ATP8EZK8I20F,28,Private Sector/Self Employed,Yes,1350000,3,0,No,Yes,Yes
5XSS0WBAUDE7,27,Government Sector,Yes,750000,8,0,No,No,No
257VKFP5HMS3,33,Private Sector/Self Employed,Yes,550000,4,0,No,No,Yes
HM7EQ7YO0ZUH,35,Private Sector/Self Employed,No,950000,5,1,No,No,No
HB655RJ3DUYL,26,Government Sector,Yes,500000,4,0,No,No,No
M5LW5NY9CTE9,31,Private Sector/Self Employed,Yes,1350000,3,0,Yes,Yes,Yes
3KTDZ9Q1ADNY,26,Private Sector/Self Employed,Yes,1400000,4,1,No,Yes,Yes
8P6JSHI1FEVA,29,Private Sector/Self Employed,Yes,1200000,3,0,No,No,No
OK8XAVXSEYJE,31,Private Sector/Self Employed,Yes,1250000,4,1,No,No,No
S3QVJKLUZNOS,34,Private Sector/Self Employed,Yes,1500000,6,0,Yes,Yes,Yes
6PKPDM7BBHYZ,34,Private Sector/Self Employed,Yes,1050000,5,1,No,No,No
RVV00N5EEG24,29,Private Sector/Self Employed,Yes,500000,8,0,No,No,No
YZKC7F6QFNED,25,Private Sector/Self Employed,No,1150000,4,0,No,No,No
B8G2TQRF3430,32,Government Sector,Yes,650000,5,0,No,No,No
BG212NNZE6XO,31,Private Sector/Self Employed,Yes,1250000,6,0,No,No,No
Z2T78E1O1W84,31,Government Sector,No,300000,5,0,No,No,No
T11NT8WMG28N,34,Government Sector,Yes,1300000,4,0,No,No,Yes
844MDZ985DPO,29,Private Sector/Self Employed,Yes,1200000,5,1,No,No,No
1BG8XLK5ZOV4,28,Private Sector/Self Employed,Yes,800000,4,1,No,Yes,No
7IZWN86J48JU,28,Private Sector/Self Employed,Yes,800000,4,1,No,No,No
LG55V8TP6D6W,28,Private Sector/Self Employed,Yes,1250000,4,1,No,No,No
T8KB6GJ3DWM4,34,Private Sector/Self Employed,No,1300000,5,0,No,No,No
4NXBDPBVH8T8,28,Private Sector/Self Employed,Yes,1150000,8,0,Yes,No,No
33LSECRRIDOB,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,No
APA6OL1EHUP4,27,Government Sector,Yes,500000,4,0,No,No,No
05VO6GIIRPY6,28,Private Sector/Self Employed,Yes,500000,3,0,No,No,No
P5Q198GUA2FC,31,Government Sector,Yes,1300000,8,0,No,No,No
46FYREQ0XJLX,28,Private Sector/Self Employed,Yes,1250000,3,0,No,No,No
QCAFII26JIPQ,31,Private Sector/Self Employed,Yes,1250000,4,0,No,No,Yes
J5343F7H7TVC,28,Private Sector/Self Employed,Yes,550000,4,1,Yes,No,No
OPVKBJ0SU0WP,33,Government Sector,Yes,1000000,6,0,Yes,No,No
MOP70Z1DV3VC,35,Private Sector/Self Employed,No,800000,6,1,No,No,Yes
XTAYYI40QLQQ,29,Private Sector/Self Employed,Yes,900000,5,0,No,No,No
S9Y9TAEI4585,28,Private Sector/Self Employed,Yes,800000,2,0,No,No,No
SJXZC74SNREB,28,Private Sector/Self Employed,Yes,700000,7,0,No,No,No
QOQRT2IWIX2J,29,Private Sector/Self Employed,Yes,1050000,7,0,No,No,No
AYSLIQ5ZHMO2,32,Government Sector,Yes,900000,5,1,No,No,Yes
G4L0H1O450IB,27,Government Sector,Yes,750000,5,0,No,No,No
9CX9AD5NVQMO,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,Yes
CM8JWPWR4JYW,31,Private Sector/Self Employed,Yes,500000,3,1,No,No,Yes
AXLVOJ1GQKPZ,33,Government Sector,Yes,1100000,2,0,Yes,No,No
MVGPLRLPHSRG,32,Government Sector,Yes,900000,4,0,Yes,No,No
4K0DYLDCUQ2W,28,Private Sector/Self Employed,Yes,1150000,3,0,No,No,No
C1IZ6WR1790X,26,Private Sector/Self Employed,Yes,1400000,4,1,No,Yes,Yes
0EJDKODDMGBF,29,Private Sector/Self Employed,Yes,1100000,9,0,No,No,No
4S5DT0GM8PUC,29,Government Sector,Yes,600000,4,0,No,No,No
X14OYGXSR7MH,30,Private Sector/Self Employed,No,800000,3,0,No,No,No
E9OVIKGPZBRQ,28,Government Sector,Yes,300000,3,0,No,No,No
1LAR7T4UNY5N,28,Private Sector/Self Employed,Yes,1250000,6,0,Yes,No,No
CXQO2IL3V4VO,26,Private Sector/Self Employed,Yes,1400000,3,1,No,Yes,Yes
18LSVE0VWFS6,28,Private Sector/Self Employed,Yes,1100000,4,0,Yes,No,No
AL9R03T0M5AQ,25,Private Sector/Self Employed,No,600000,4,1,Yes,No,No
CXRDP78RQRMW,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,Yes
UUD7XILBQTB9,30,Private Sector/Self Employed,No,550000,4,0,No,No,No
EXCLC45VM1V9,28,Private Sector/Self Employed,Yes,700000,2,0,No,No,No
AEY3824EGSPE,26,Government Sector,Yes,550000,5,0,No,No,Yes
2TPVNYGZOLD2,34,Private Sector/Self Employed,Yes,1500000,5,1,Yes,Yes,Yes
