,Unnamed: 0,star_rating,title,content_rating,genre,duration,actors_list,greater_than_150_min
37,37,8.6,Raiders of the Lost Ark,PG,Action,115,"[u'Harrison Ford', u'Karen Allen', u'Paul Freeman']",0
38,38,8.6,Rear Window,APPROVED,Mystery,112,"[u'James Stewart', u'Grace Kelly', u'Wendell Corey']",0
39,39,8.6,Psycho,R,Horror,109,"[u'Anthony Perkins', u'Janet Leigh', u'Vera Miles']",0
40,40,8.5,The Green Mile,R,Crime,189,"[u'Tom Hanks', u'Michael Clarke Duncan', u'David Morse']",1
41,41,8.5,Sunset Blvd.,NOT RATED,Drama,110,"[u'William Holden', u'Gloria Swanson', u'Erich von Stroheim']",0
42,42,8.5,The Pianist,R,Biography,150,"[u'Adrien Brody', u'Thomas Kretschmann', u'Frank Finlay']",1
43,43,8.5,The Dark Knight Rises,PG-13,Action,165,"[u'Christian Bale', u'Tom Hardy', u'Anne Hathaway']",1
44,44,8.5,Gladiator,R,Action,155,"[u'Russell Crowe', u'Joaquin Phoenix', u'Connie Nielsen']",1
45,45,8.5,Terminator 2: Judgment Day,R,Action,137,"[u'Arnold Schwarzenegger', u'Linda Hamilton', u'Edward Furlong']",0
46,46,8.5,Memento,R,Mystery,113,"[u'Guy Pearce', u'Carrie-Anne Moss', u'Joe Pantoliano']",0
47,47,8.5,Taare Zameen Par,PG,Drama,165,"[u'Darsheel Safary', u'Aamir Khan', u'Tanay Chheda']",1
48,48,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,Comedy,95,"[u'Peter Sellers', u'George C. Scott', u'Sterling Hayden']",0
49,49,8.5,The Departed,R,Crime,151,"[u'Leonardo DiCaprio', u'Matt Damon', u'Jack Nicholson']",1
50,50,8.5,Cinema Paradiso,R,Drama,155,"[u'Philippe Noiret', u'Enzo Cannavale', u'Antonella Attili']",1
51,51,8.5,Apocalypse Now,R,Drama,153,"[u'Martin Sheen', u'Marlon Brando', u'Robert Duvall']",1
52,52,8.5,The Great Dictator,APPROVED,Comedy,125,"[u'Charles Chaplin', u'Paulette Goddard', u'Jack Oakie']",0
53,53,8.5,The Prestige,PG-13,Drama,130,"[u'Christian Bale', u'Hugh Jackman', u'Scarlett Johansson']",0
54,54,8.5,Back to the Future,PG,Adventure,116,"[u'Michael J. Fox', u'Christopher Lloyd', u'Lea Thompson']",0
55,55,8.5,The Lion King,G,Animation,89,"[u'Matthew Broderick', u'Jeremy Irons', u'James Earl Jones']",0
56,56,8.5,The Lives of Others,R,Drama,137,"[u'Ulrich M\xfche', u'Martina Gedeck', u'Sebastian Koch']",0
57,57,8.5,Alien,R,Horror,117,"[u'Sigourney Weaver', u'Tom Skerritt', u'John Hurt']",0
58,58,8.5,Paths of Glory,APPROVED,Drama,88,"[u'Kirk Douglas', u'Ralph Meeker', u'Adolphe Menjou']",0
59,59,8.5,Django Unchained,R,Western,165,"[u'Jamie Foxx', u'Christoph Waltz', u'Leonardo DiCaprio']",1
60,60,8.5,3 Idiots,PG-13,Comedy,170,"[u'Aamir Khan', u'Madhavan', u'Mona Singh']",1
61,61,8.5,Grave of the Fireflies,UNRATED,Animation,89,"[u'Tsutomu Tatsumi', u'Ayano Shiraishi', u'Akemi Yamaguchi']",0
62,62,8.5,The Shining,R,Horror,146,"[u'Jack Nicholson', u'Shelley Duvall', u'Danny Lloyd']",0
63,63,8.4,M,NOT RATED,Crime,99,"[u'Peter Lorre', u'Ellen Widmann', u'Inge Landgut']",0
64,64,8.4,WALL-E,G,Animation,98,"[u'Ben Burtt', u'Elissa Knight', u'Jeff Garlin']",0
65,65,8.4,Witness for the Prosecution,APPROVED,Crime,116,"[u'Tyrone Power', u'Marlene Dietrich', u'Charles Laughton']",0
66,66,8.4,Munna Bhai M.B.B.S.,NOT RATED,Comedy,156,"[u'Sunil Dutt', u'Sanjay Dutt', u'Arshad Warsi']",1
67,67,8.4,American Beauty,R,Drama,122,"[u'Kevin Spacey', u'Annette Bening', u'Thora Birch']",0
68,68,8.4,Das Boot,R,Adventure,149,"[u'J\xfcrgen Prochnow', u'Herbert Gr\xf6nemeyer', u'Klaus Wennemann']",0
69,69,8.4,Princess Mononoke,PG-13,Animation,134,"[u'Y\xf4ji Matsuda', u'Yuriko Ishida', u'Y\xfbko Tanaka']",0
70,70,8.4,Amelie,R,Comedy,122,"[u'Audrey Tautou', u'Mathieu Kassovitz', u'Rufus']",0
71,71,8.4,North by Northwest,APPROVED,Adventure,136,"[u'Cary Grant', u'Eva Marie Saint', u'James Mason']",0
72,72,8.4,Rang De Basanti,NOT RATED,Drama,157,"[u'Aamir Khan', u'Soha Ali Khan', u'Siddharth']",1
73,73,8.4,Jodaeiye Nader az Simin,PG-13,Drama,123,"[u'Peyman Moaadi', u'Leila Hatami', u'Sareh Bayat']",0
74,74,8.4,Citizen Kane,APPROVED,Drama,119,"[u'Orson Welles', u'Joseph Cotten', u'Dorothy Comingore']",0
75,75,8.4,Aliens,R,Action,137,"[u'Sigourney Weaver', u'Michael Biehn', u'Carrie Henn']",0
76,76,8.4,Vertigo,APPROVED,Mystery,128,"[u'James Stewart', u'Kim Novak', u'Barbara Bel Geddes']",0
77,77,8.4,Oldeuboi,R,Drama,120,"[u'Min-sik Choi', u'Ji-tae Yu', u'Hye-jeong Kang']",0
78,78,8.4,Once Upon a Time in America,R,Crime,229,"[u'Robert De Niro', u'James Woods', u'Elizabeth McGovern']",1
79,79,8.4,Double Indemnity,PASSED,Crime,107,"[u'Fred MacMurray', u'Barbara Stanwyck', u'Edward G. Robinson']",0
80,80,8.4,Star Wars: Episode VI - Return of the Jedi,PG,Action,134,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']",0
81,81,8.4,Toy Story 3,G,Animation,103,"[u'Tom Hanks', u'Tim Allen', u'Joan Cusack']",0
82,82,8.4,Braveheart,R,Action,177,"[u'Mel Gibson', u'Sophie Marceau', u'Patrick McGoohan']",1
83,83,8.4,To Kill a Mockingbird,NOT RATED,Drama,129,"[u'Gregory Peck', u'John Megna', u'Frank Overton']",0
84,84,8.4,Requiem for a Dream,R,Drama,102,"[u'Ellen Burstyn', u'Jared Leto', u'Jennifer Connelly']",0
85,85,8.4,Lawrence of Arabia,PG,Adventure,216,"[u""Peter O'Toole"", u'Alec Guinness', u'Anthony Quinn']",1
86,86,8.4,A Clockwork Orange,X,Crime,136,"[u'Malcolm McDowell', u'Patrick Magee', u'Michael Bates']",0
87,87,8.4,Bicycle Thieves,NOT RATED,Drama,93,"[u'Lamberto Maggiorani', u'Enzo Staiola', u'Lianella Carell']",0
88,88,8.4,The Kid,NOT RATED,Comedy,68,"[u'Charles Chaplin', u'Edna Purviance', u'Jackie Coogan']",0
89,89,8.4,Swades,NOT RATED,Drama,189,"[u'Shah Rukh Khan', u'Gayatri Joshi', u'Kishori Balal']",1
90,90,8.4,Reservoir Dogs,R,Crime,99,"[u'Harvey Keitel', u'Tim Roth', u'Michael Madsen']",0
91,91,8.4,Eternal Sunshine of the Spotless Mind,R,Drama,108,"[u'Jim Carrey', u'Kate Winslet', u'Tom Wilkinson']",0
92,92,8.4,Taxi Driver,R,Crime,113,"[u'Robert De Niro', u'Jodie Foster', u'Cybill Shepherd']",0
93,93,8.4,Dilwale Dulhania Le Jayenge,NOT RATED,Comedy,181,"[u'Shah Rukh Khan', u'Kajol', u'Amrish Puri']",1
94,94,8.4,Singin' in the Rain,APPROVED,Comedy,103,"[u'Gene Kelly', u""Donald O'Connor"", u'Debbie Reynolds']",0
95,95,8.4,All About Eve,APPROVED,Drama,138,"[u'Bette Davis', u'Anne Baxter', u'George Sanders']",0
96,96,8.4,Yojimbo,UNRATED,Action,110,"[u'Toshir\xf4 Mifune', u'Eijir\xf4 T\xf4no', u'Tatsuya Nakadai']",0
97,97,8.4,The Sting,PG,Comedy,129,"[u'Paul Newman', u'Robert Redford', u'Robert Shaw']",0
98,98,8.4,Rashomon,UNRATED,Crime,88,"[u'Toshir\xf4 Mifune', u'Machiko Ky\xf4', u'Masayuki Mori']",0
99,99,8.4,Amadeus,R,Biography,160,"[u'F. Murray Abraham', u'Tom Hulce', u'Elizabeth Berridge']",1
100,100,8.3,The Treasure of the Sierra Madre,NOT RATED,Action,126,"[u'Humphrey Bogart', u'Walter Huston', u'Tim Holt']",0
101,101,8.3,Monty Python and the Holy Grail,PG,Adventure,91,"[u'Graham Chapman', u'John Cleese', u'Eric Idle']",0
102,102,8.3,Full Metal Jacket,R,Drama,116,"[u'Matthew Modine', u'R. Lee Ermey', u""Vincent D'Onofrio""]",0
103,103,8.3,The Apartment,APPROVED,Comedy,125,"[u'Jack Lemmon', u'Shirley MacLaine', u'Fred MacMurray']",0
104,104,8.3,Ikiru,NOT RATED,Drama,143,"[u'Takashi Shimura', u'Nobuo Kaneko', u""Shin'ichi Himori""]",0
105,105,8.3,The Third Man,NOT RATED,Film-Noir,93,"[u'Orson Welles', u'Joseph Cotten', u'Alida Valli']",0
106,106,8.3,Snatch.,R,Comedy,102,"[u'Jason Statham', u'Brad Pitt', u'Benicio Del Toro']",0
107,107,8.3,For a Few Dollars More,APPROVED,Western,132,"[u'Clint Eastwood', u'Lee Van Cleef', u'Gian Maria Volont\xe9']",0
108,108,8.3,Metropolis,NOT RATED,Drama,153,"[u'Brigitte Helm', u'Alfred Abel', u'Gustav Fr\xf6hlich']",1
109,109,8.3,Dil Chahta Hai,NOT RATED,Comedy,183,"[u'Aamir Khan', u'Saif Ali Khan', u'Akshaye Khanna']",1
110,110,8.3,2001: A Space Odyssey,G,Mystery,160,"[u'Keir Dullea', u'Gary Lockwood', u'William Sylvester']",1
111,111,8.3,Some Like It Hot,NOT RATED,Comedy,120,"[u'Marilyn Monroe', u'Tony Curtis', u'Jack Lemmon']",0
112,112,8.3,L.A. Confidential,R,Crime,138,"[u'Kevin Spacey', u'Russell Crowe', u'Guy Pearce']",0
113,113,8.3,Batman Begins,PG-13,Action,140,"[u'Christian Bale', u'Michael Caine', u'Ken Watanabe']",0
114,114,8.3,Inglourious Basterds,R,Adventure,153,"[u'Brad Pitt', u'Diane Kruger', u'Eli Roth']",1
115,115,8.3,Scarface,R,Crime,170,"[u'Al Pacino', u'Michelle Pfeiffer', u'Steven Bauer']",1
116,116,8.3,Mr. Smith Goes to Washington,NOT RATED,Drama,129,"[u'James Stewart', u'Jean Arthur', u'Claude Rains']",0
117,117,8.3,Toy Story,G,Animation,81,"[u'Tom Hanks', u'Tim Allen', u'Don Rickles']",0
118,118,8.3,Indiana Jones and the Last Crusade,PG-13,Action,127,"[u'Harrison Ford', u'Sean Connery', u'Alison Doody']",0
119,119,8.3,Unforgiven,R,Western,131,"[u'Clint Eastwood', u'Gene Hackman', u'Morgan Freeman']",0
120,120,8.3,The Great Escape,UNRATED,Adventure,172,"[u'Steve McQueen', u'James Garner', u'Richard Attenborough']",1
121,121,8.3,Jagten,R,Drama,115,"[u'Mads Mikkelsen', u'Thomas Bo Larsen', u'Annika Wedderkopp']",0
122,122,8.3,On the Waterfront,NOT RATED,Crime,108,"[u'Marlon Brando', u'Karl Malden', u'Lee J. Cobb']",0
123,123,8.3,The General,UNRATED,Action,107,"[u'Buster Keaton', u'Marion Mack', u'Glen Cavender']",0
124,124,8.3,Raging Bull,R,Biography,129,"[u'Robert De Niro', u'Cathy Moriarty', u'Joe Pesci']",0
125,125,8.3,Downfall,R,Biography,156,"[u'Bruno Ganz', u'Alexandra Maria Lara', u'Ulrich Matthes']",1
126,126,8.3,Up,PG,Animation,96,"[u'Edward Asner', u'Jordan Nagai', u'John Ratzenberger']",0
127,127,8.3,Wild Strawberries,UNRATED,Drama,91,"[u'Victor Sj\xf6str\xf6m', u'Bibi Andersson', u'Ingrid Thulin']",0
128,128,8.3,The Gold Rush,NOT RATED,Adventure,95,"[u'Charles Chaplin', u'Mack Swain', u'Tom Murray']",0
129,129,8.3,Ran,R,Action,162,"[u'Tatsuya Nakadai', u'Akira Terao', u'Jinpachi Nezu']",1
130,130,8.3,Chinatown,R,Drama,130,"[u'Jack Nicholson', u'Faye Dunaway', u'John Huston']",0
131,131,8.3,My Neighbor Totoro,G,Animation,86,"[u'Hitoshi Takagi', u'Noriko Hidaka', u'Chika Sakamoto']",0
132,132,8.3,Judgment at Nuremberg,NOT RATED,Drama,186,"[u'Spencer Tracy', u'Burt Lancaster', u'Richard Widmark']",1
133,133,8.3,Barfi!,NOT RATED,Adventure,151,"[u'Ranbir Kapoor', u'Priyanka Chopra', u'Ileana']",1
134,134,8.3,The Seventh Seal,NOT RATED,Drama,96,"[u'Max von Sydow', u'Gunnar Bj\xf6rnstrand', u'Bengt Ekerot']",0
135,135,8.3,Heat,R,Action,170,"[u'Al Pacino', u'Robert De Niro', u'Val Kilmer']",1
136,136,8.3,Pan's Labyrinth,R,Drama,118,"[u'Ivana Baquero', u'Ariadna Gil', u'Sergi L\xf3pez']",0
137,137,8.3,The Bridge on the River Kwai,PG,Adventure,161,"[u'William Holden', u'Alec Guinness', u'Jack Hawkins']",1
138,138,8.3,Die Hard,R,Action,131,"[u'Bruce Willis', u'Alan Rickman', u'Bonnie Bedelia']",0
139,139,8.3,Good Will Hunting,R,Drama,126,"[u'Robin Williams', u'Matt Damon', u'Ben Affleck']",0
140,140,8.3,The Wages of Fear,NOT RATED,Adventure,131,"[u'Yves Montand', u'Charles Vanel', u'Peter van Eyck']",0
141,141,8.3,The Secret in Their Eyes,R,Drama,129,"[u'Ricardo Dar\xedn', u'Soledad Villamil', u'Pablo Rago']",0
142,142,8.3,Lagaan: Once Upon a Time in India,PG,Adventure,224,"[u'Aamir Khan', u'Gracy Singh', u'Rachel Shelley']",1
143,143,8.2,The Wolf of Wall Street,R,Biography,180,"[u'Leonardo DiCaprio', u'Jonah Hill', u'Margot Robbie']",1
144,144,8.2,It Happened One Night,UNRATED,Comedy,105,"[u'Clark Gable', u'Claudette Colbert', u'Walter Connolly']",0
145,145,8.2,Blade Runner,R,Sci-Fi,117,"[u'Harrison Ford', u'Rutger Hauer', u'Sean Young']",0
146,146,8.2,Warrior,PG-13,Drama,140,"[u'Tom Hardy', u'Nick Nolte', u'Joel Edgerton']",0
147,147,8.2,Howl's Moving Castle,PG,Animation,119,"[u'Chieko Baish\xf4', u'Takuya Kimura', u'Tatsuya Gash\xfbin']",0
148,148,8.2,The Elephant Man,PG,Biography,124,"[u'Anthony Hopkins', u'John Hurt', u'Anne Bancroft']",0
149,149,8.2,Rebecca,NOT RATED,Mystery,130,"[u'Laurence Olivier', u'Joan Fontaine', u'George Sanders']",0
150,150,8.2,Incendies,R,Drama,139,"[u'Lubna Azabal', u'M\xe9lissa D\xe9sormeaux-Poulin', u'Maxim Gaudette']",0
151,151,8.2,"Lock, Stock and Two Smoking Barrels",R,Comedy,107,"[u'Jason Flemyng', u'Dexter Fletcher', u'Nick Moran']",0
152,152,8.2,V for Vendetta,R,Action,132,"[u'Hugo Weaving', u'Natalie Portman', u'Rupert Graves']",0
153,153,8.2,The Big Lebowski,R,Comedy,117,"[u'Jeff Bridges', u'John Goodman', u'Julianne Moore']",0
154,154,8.2,Cool Hand Luke,PG,Crime,126,"[u'Paul Newman', u'George Kennedy', u'Strother Martin']",0
155,155,8.2,Relatos salvajes,R,Comedy,122,"[u'Dar\xedo Grandinetti', u'Mar\xeda Marull', u'M\xf3nica Villa']",0
156,156,8.2,Casino,R,Biography,178,"[u'Robert De Niro', u'Sharon Stone', u'Joe Pesci']",1
157,157,8.2,Gone with the Wind,G,Drama,238,"[u'Clark Gable', u'Vivien Leigh', u'Thomas Mitchell']",1
158,158,8.2,Gone Girl,R,Drama,149,"[u'Ben Affleck', u'Rosamund Pike', u'Neil Patrick Harris']",0
159,159,8.2,The Best Years of Our Lives,PASSED,Drama,172,"[u'Fredric March', u'Dana Andrews', u'Myrna Loy']",1
160,160,8.2,How to Train Your Dragon,PG,Animation,98,"[u'Jay Baruchel', u'Gerard Butler', u'Christopher Mintz-Plasse']",0
161,161,8.2,Diabolique,UNRATED,Horror,116,"[u'Simone Signoret', u'V\xe9ra Clouzot', u'Paul Meurisse']",0
162,162,8.2,Gran Torino,R,Drama,116,"[u'Clint Eastwood', u'Bee Vang', u'Christopher Carley']",0
163,163,8.2,Rush,R,Action,123,"[u'Daniel Br\xfchl', u'Chris Hemsworth', u'Olivia Wilde']",0
164,164,8.2,Into the Wild,R,Adventure,148,"[u'Emile Hirsch', u'Vince Vaughn', u'Catherine Keener']",0
165,165,8.2,My Sassy Girl,NOT RATED,Comedy,123,"[u'Tae-hyun Cha', u'Gianna Jun', u'In-mun Kim']",0
166,166,8.2,The Deer Hunter,R,Drama,182,"[u'Robert De Niro', u'Christopher Walken', u'John Cazale']",1
167,167,8.2,Mary and Max,NOT RATED,Animation,92,"[u'Toni Collette', u'Philip Seymour Hoffman', u'Eric Bana']",0
168,168,8.2,Hachi: A Dog's Tale,G,Drama,93,"[u'Richard Gere', u'Joan Allen', u'Cary-Hiroyuki Tagawa']",0
169,169,8.2,The Maltese Falcon,NOT RATED,Crime,100,"[u'Humphrey Bogart', u'Mary Astor', u'Gladys George']",0
170,170,8.2,A Beautiful Mind,PG-13,Biography,135,"[u'Russell Crowe', u'Ed Harris', u'Jennifer Connelly']",0
171,171,8.2,Dial M for Murder,PG,Crime,105,"[u'Ray Milland', u'Grace Kelly', u'Robert Cummings']",0
172,172,8.2,Trainspotting,R,Drama,94,"[u'Ewan McGregor', u'Ewen Bremner', u'Jonny Lee Miller']",0
173,173,8.2,Tae Guk Gi: The Brotherhood of War,R,Action,140,"[u'Dong-gun Jang', u'Bin Won', u'Eun-ju Lee']",0
174,174,8.2,Persona,NOT RATED,Drama,83,"[u'Bibi Andersson', u'Liv Ullmann', u'Margaretha Krook']",0
175,175,8.2,Touch of Evil,PG-13,Crime,95,"[u'Charlton Heston', u'Orson Welles', u'Janet Leigh']",0
176,176,8.2,Fargo,R,Crime,98,"[u'William H. Macy', u'Frances McDormand', u'Steve Buscemi']",0
177,177,8.2,The Avengers,PG-13,Action,143,"[u'Robert Downey Jr.', u'Chris Evans', u'Scarlett Johansson']",0
178,178,8.2,The 400 Blows,NOT RATED,Crime,99,"[u'Jean-Pierre L\xe9aud', u'Albert R\xe9my', u'Claire Maurier']",0
179,179,8.2,The Princess Bride,PG,Adventure,98,"[u'Cary Elwes', u'Mandy Patinkin', u'Robin Wright']",0
180,180,8.2,Hotel Rwanda,PG-13,Drama,121,"[u'Don Cheadle', u'Sophie Okonedo', u'Joaquin Phoenix']",0
181,181,8.2,Stalker,NOT RATED,Drama,163,"[u'Alisa Freyndlikh', u'Aleksandr Kaydanovskiy', u'Anatoliy Solonitsyn']",1
182,182,8.2,The Battle of Algiers,NOT RATED,Crime,121,"[u'Brahim Hadjadj', u'Jean Martin', u'Yacef Saadi']",0
183,183,8.2,Underground,NOT RATED,Comedy,167,"[u'Predrag Manojlovic', u'Lazar Ristovski', u'Mirjana Jokovic']",1
184,184,8.2,Fanny and Alexander,R,Drama,188,"[u'Bertil Guve', u'Pernilla Allwin', u'Kristina Adolphson']",1
185,185,8.2,Network,R,Drama,121,"[u'Faye Dunaway', u'William Holden', u'Peter Finch']",0
186,186,8.2,The Thing,R,Horror,109,"[u'Kurt Russell', u'Wilford Brimley', u'Keith David']",0
187,187,8.2,The Grapes of Wrath,NOT RATED,Drama,129,"[u'Henry Fonda', u'Jane Darwell', u'John Carradine']",0
188,188,8.2,"Black Cat, White Cat",R,Comedy,127,"[u'Bajram Severdzan', u'Srdjan Todorovic', u'Branka Katic']",0
189,189,8.2,Life of Brian,R,Comedy,94,"[u'Graham Chapman', u'John Cleese', u'Michael Palin']",0
190,190,8.2,The Sixth Sense,PG-13,Drama,107,"[u'Bruce Willis', u'Haley Joel Osment', u'Toni Collette']",0
191,191,8.2,Finding Nemo,G,Animation,100,"[u'Albert Brooks', u'Ellen DeGeneres', u'Alexander Gould']",0
192,192,8.2,Nausicaa of the Valley of the Wind,PG,Animation,117,"[u'Sumi Shimamoto', u'Mahito Tsujimura', u'Hisako Ky\xf4da']",0
193,193,8.1,Kingsman: The Secret Service,R,Action,129,"[u'Colin Firth', u'Taron Egerton', u'Samuel L. Jackson']",0
194,194,8.1,Platoon,R,Drama,120,"[u'Charlie Sheen', u'Tom Berenger', u'Willem Dafoe']",0
195,195,8.1,Guardians of the Galaxy,PG-13,Action,121,"[u'Chris Pratt', u'Vin Diesel', u'Bradley Cooper']",0
196,196,8.1,In the Name of the Father,R,Biography,133,"[u'Daniel Day-Lewis', u'Pete Postlethwaite', u'Alison Crosbie']",0
197,197,8.1,Kill Bill: Vol. 1,R,Action,111,"[u'Uma Thurman', u'David Carradine', u'Daryl Hannah']",0
198,198,8.1,No Country for Old Men,R,Crime,122,"[u'Tommy Lee Jones', u'Javier Bardem', u'Josh Brolin']",0
199,199,8.1,Le Samourai,PG,Crime,101,"[u'Alain Delon', u'Nathalie Delon', u'Fran\xe7ois P\xe9rier']",0
200,200,8.1,12 Years a Slave,R,Biography,134,"[u'Chiwetel Ejiofor', u'Michael Kenneth Williams', u'Michael Fassbender']",0
201,201,8.1,La leggenda del pianista sull'oceano,R,Drama,165,"[u'Tim Roth', u'Pruitt Taylor Vince', u'Bill Nunn']",1
202,202,8.1,8 1/2,NOT RATED,Drama,138,"[u'Marcello Mastroianni', u'Anouk Aim\xe9e', u'Claudia Cardinale']",0
203,203,8.1,Ben-Hur,G,Adventure,212,"[u'Charlton Heston', u'Jack Hawkins', u'Stephen Boyd']",1
204,204,8.1,Amores Perros,R,Drama,154,"[u'Emilio Echevarr\xeda', u'Gael Garc\xeda Bernal', u'Goya Toledo']",1
205,205,8.1,Stand by Me,R,Adventure,89,"[u'Wil Wheaton', u'River Phoenix', u'Corey Feldman']",0
206,206,8.1,What Ever Happened to Baby Jane?,APPROVED,Drama,134,"[u'Bette Davis', u'Joan Crawford', u'Victor Buono']",0
207,207,8.1,Annie Hall,PG,Comedy,93,"[u'Woody Allen', u'Diane Keaton', u'Tony Roberts']",0
208,208,8.1,The Imitation Game,PG-13,Biography,114,"[u'Benedict Cumberbatch', u'Keira Knightley', u'Matthew Goode']",0
209,209,8.1,Laura,APPROVED,Film-Noir,88,"[u'Gene Tierney', u'Dana Andrews', u'Clifton Webb']",0
210,210,8.1,Departures,PG-13,Drama,130,"[u'Masahiro Motoki', u'Ry\xf4ko Hirosue', u'Tsutomu Yamazaki']",0
211,211,8.1,Infernal Affairs,R,Crime,101,"[u'Andy Lau', u'Tony Chiu Wai Leung', u'Anthony Chau-Sang Wong']",0
212,212,8.1,There Will Be Blood,R,Drama,158,"[u'Daniel Day-Lewis', u'Paul Dano', u'Ciar\xe1n Hinds']",1
213,213,8.1,The Grand Budapest Hotel,R,Adventure,99,"[u'Ralph Fiennes', u'F. Murray Abraham', u'Mathieu Amalric']",0
214,214,8.1,La Strada,NOT RATED,Drama,108,"[u'Anthony Quinn', u'Giulietta Masina', u'Richard Basehart']",0
