,star rating,title,content rating,genre,duration,actors list,new column,new_column
49,8.5,The Departed,R,Crime,151,"[u'Leonardo DiCaprio', u'Matt Damon', u'Jack Nicholson']",0,0
273,8.1,Papillon,R,Biography,151,"[u'Steve McQueen', u'Dustin Hoffman', u'Victor Jory']",0,0
133,8.3,Barfi!,NOT RATED,Adventure,151,"[u'Ranbir Kapoor', u'Priyanka Chopra', u'Ileana']",0,0
964,7.4,Lincoln,PG-13,Biography,150,"[u'Daniel Day-Lewis', u'Sally Field', u'David Strathairn']",0,0
659,7.7,Sophie's Choice,R,Drama,150,"[u'Meryl Streep', u'Kevin Kline', u'Peter MacNicol']",0,0
268,8.1,The Raid 2,R,Action,150,"[u'Iko Uwais', u'Yayan Ruhian', u'Arifin Putra']",0,0
42,8.5,The Pianist,R,Biography,150,"[u'Adrien Brody', u'Thomas Kretschmann', u'Frank Finlay']",0,0
531,7.8,The Dirty Dozen,NOT RATED,Action,150,"[u'Lee Marvin', u'Ernest Borgnine', u'Charles Bronson']",0,0
68,8.4,Das Boot,R,Adventure,149,"[u'J\xfcrgen Prochnow', u'Herbert Gr\xf6nemeyer', u'Klaus Wennemann']",1,1
158,8.2,Gone Girl,R,Drama,149,"[u'Ben Affleck', u'Rosamund Pike', u'Neil Patrick Harris']",1,1
895,7.5,Biutiful,R,Drama,148,"[u'Javier Bardem', u'Maricel \xc1lvarez', u'Hanaa Bouchaib']",1,1
11,8.8,Inception,PG-13,Action,148,"[u'Leonardo DiCaprio', u'Joseph Gordon-Levitt', u'Ellen Page']",1,1
164,8.2,Into the Wild,R,Adventure,148,"[u'Emile Hirsch', u'Vince Vaughn', u'Catherine Keener']",1,1
694,7.7,Traffic,R,Crime,147,"[u'Michael Douglas', u'Benicio Del Toro', u'Catherine Zeta-Jones']",1,1
223,8.1,"Paris, Texas",R,Drama,147,"[u'Harry Dean Stanton', u'Nastassja Kinski', u'Dean Stockwell']",1,1
841,7.5,Perfume: The Story of a Murderer,R,Crime,147,"[u'Ben Whishaw', u'Dustin Hoffman', u'Alan Rickman']",1,1
375,8.0,Mulholland Dr.,R,Drama,147,"[u'Naomi Watts', u'Laura Harring', u'Justin Theroux']",1,1
826,7.5,Sleepers,R,Crime,147,"[u'Robert De Niro', u'Kevin Bacon', u'Brad Pitt']",1,1
642,7.7,Harry Potter and the Deathly Hallows: Part 1,PG-13,Adventure,146,"[u'Daniel Radcliffe', u'Emma Watson', u'Rupert Grint']",1,1
818,7.6,The Hurricane,R,Biography,146,"[u'Denzel Washington', u'Vicellous Reon Shannon', u'Deborah Kara Unger']",1,1
581,7.8,Man on Fire,R,Action,146,"[u'Denzel Washington', u'Christopher Walken', u'Dakota Fanning']",1,1
658,7.7,The Hunger Games: Catching Fire,PG-13,Adventure,146,"[u'Jennifer Lawrence', u'Josh Hutcherson', u'Liam Hemsworth']",1,1
259,8.1,The Help,PG-13,Drama,146,"[u'Emma Stone', u'Viola Davis', u'Octavia Spencer']",1,1
62,8.5,The Shining,R,Horror,146,"[u'Jack Nicholson', u'Shelley Duvall', u'Danny Lloyd']",1,1
702,7.6,Jin ling shi san chai,R,Drama,146,"[u'Christian Bale', u'Ni Ni', u'Xinyi Zhang']",1,1
18,8.7,Goodfellas,R,Biography,146,"[u'Robert De Niro', u'Ray Liotta', u'Joe Pesci']",1,1
485,7.8,Black Book,R,Drama,145,"[u'Carice van Houten', u'Sebastian Koch', u'Thom Hoffman']",1,1
296,8.1,The Wild Bunch,R,Action,145,"[u'William Holden', u'Ernest Borgnine', u'Robert Ryan']",1,1
686,7.7,Minority Report,PG-13,Action,145,"[u'Tom Cruise', u'Colin Farrell', u'Samantha Morton']",1,1
538,7.8,The White Ribbon,R,Drama,144,"[u'Christian Friedel', u'Ernst Jacobi', u'Leonie Benesch']",1,1
889,7.5,Devil's Advocate,R,Drama,144,"[u'Keanu Reeves', u'Al Pacino', u'Charlize Theron']",1,1
691,7.7,Kelly's Heroes,GP,Action,144,"[u'Clint Eastwood', u'Telly Savalas', u'Don Rickles']",1,1
380,8.0,Casino Royale,PG-13,Action,144,"[u'Daniel Craig', u'Eva Green', u'Judi Dench']",1,1
436,7.9,Carlito's Way,R,Crime,144,"[u'Al Pacino', u'Sean Penn', u'Penelope Ann Miller']",1,1
606,7.7,Black Hawk Down,R,Drama,144,"[u'Josh Hartnett', u'Ewan McGregor', u'Tom Sizemore']",1,1
814,7.6,The Hobbit: The Battle of the Five Armies,PG-13,Adventure,144,"[u'Ian McKellen', u'Martin Freeman', u'Richard Armitage']",1,1
341,8.0,Cinderella Man,PG-13,Biography,144,"[u'Russell Crowe', u'Ren\xe9e Zellweger', u'Craig Bierko']",1,1
629,7.7,Cast Away,PG-13,Adventure,143,"[u'Tom Hanks', u'Helen Hunt', u'Paul Sanchez']",1,1
177,8.2,The Avengers,PG-13,Action,143,"[u'Robert Downey Jr.', u'Chris Evans', u'Scarlett Johansson']",1,1
568,7.8,Skyfall,PG-13,Action,143,"[u'Daniel Craig', u'Javier Bardem', u'Naomie Harris']",1,1
271,8.1,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,Adventure,143,"[u'Johnny Depp', u'Geoffrey Rush', u'Orlando Bloom']",1,1
104,8.3,Ikiru,NOT RATED,Drama,143,"[u'Takashi Shimura', u'Nobuo Kaneko', u""Shin'ichi Himori""]",1,1
901,7.5,Babel,R,Drama,143,"[u'Brad Pitt', u'Cate Blanchett', u'Gael Garc\xeda Bernal']",1,1
495,7.8,The Day of the Jackal,PG,Crime,143,"[u'Edward Fox', u'Terence Alexander', u'Michel Auclair']",1,1
309,8.0,Blood Diamond,R,Adventure,143,"[u'Leonardo DiCaprio', u'Djimon Hounsou', u'Jennifer Connelly']",1,1
804,7.6,Chaplin,PG-13,Biography,143,"[u'Robert Downey Jr.', u'Geraldine Chaplin', u'Paul Rhys']",1,1
0,9.3,The Shawshank Redemption,R,Crime,142,"[u'Tim Robbins', u'Morgan Freeman', u'Bob Gunton']",1,1
647,7.7,La grande bellezza,NOT RATED,Drama,142,"[u'Toni Servillo', u'Carlo Verdone', u'Sabrina Ferilli']",1,1
13,8.8,Forrest Gump,PG-13,Drama,142,"[u'Tom Hanks', u'Robin Wright', u'Gary Sinise']",1,1
551,7.8,Harry Potter and the Prisoner of Azkaban,PG,Adventure,142,"[u'Daniel Radcliffe', u'Emma Watson', u'Rupert Grint']",1,1
415,7.9,The Killing Fields,R,Drama,141,"[u'Sam Waterston', u'Haing S. Ngor', u'John Malkovich']",1,1
478,7.8,I Saw the Devil,NOT RATED,Crime,141,"[u'Byung-hun Lee', u'Min-sik Choi', u'In-seo Kim']",1,1
559,7.8,Changeling,R,Drama,141,"[u'Angelina Jolie', u'Colm Feore', u'Amy Ryan']",1,1
914,7.5,The Judge,R,Drama,141,"[u'Robert Downey Jr.', u'Robert Duvall', u'Vera Farmiga']",1,1
431,7.9,Mr. Nobody,R,Drama,141,"[u'Jared Leto', u'Sarah Polley', u'Diane Kruger']",1,1
340,8.0,Catch Me If You Can,PG-13,Biography,141,"[u'Leonardo DiCaprio', u'Tom Hanks', u'Christopher Walken']",1,1
745,7.6,Jusan-nin no shikaku,R,Action,141,"[u'K\xf4ji Yakusho', u'Takayuki Yamada', u'Y\xfbsuke Iseya']",1,1
390,8.0,Letters from Iwo Jima,R,Drama,141,"[u'Ken Watanabe', u'Kazunari Ninomiya', u'Tsuyoshi Ihara']",1,1
263,8.1,Rio Bravo,NOT RATED,Western,141,"[u'John Wayne', u'Dean Martin', u'Ricky Nelson']",1,1
935,7.4,Excalibur,R,Adventure,140,"[u'Nigel Terry', u'Helen Mirren', u'Nicholas Clay']",1,1
754,7.6,Apollo 13,PG,Adventure,140,"[u'Tom Hanks', u'Bill Paxton', u'Kevin Bacon']",1,1
173,8.2,Tae Guk Gi: The Brotherhood of War,R,Action,140,"[u'Dong-gun Jang', u'Bin Won', u'Eun-ju Lee']",1,1
146,8.2,Warrior,PG-13,Drama,140,"[u'Tom Hardy', u'Nick Nolte', u'Joel Edgerton']",1,1
661,7.7,Star Wars: Episode III - Revenge of the Sith,PG-13,Action,140,"[u'Hayden Christensen', u'Natalie Portman', u'Ewan McGregor']",1,1
324,8.0,Dancer in the Dark,R,Crime,140,"[u'Bj\xf6rk', u'Catherine Deneuve', u'David Morse']",1,1
660,7.7,La Vie en Rose,PG-13,Biography,140,"[u'Marion Cotillard', u'Sylvie Testud', u'Pascal Greggory']",1,1
113,8.3,Batman Begins,PG-13,Action,140,"[u'Christian Bale', u'Michael Caine', u'Ken Watanabe']",1,1
758,7.6,The Abyss,PG-13,Adventure,139,"[u'Ed Harris', u'Mary Elizabeth Mastrantonio', u'Michael Biehn']",1,1
884,7.5,Open Range,R,Action,139,"[u'Kevin Costner', u'Robert Duvall', u'Diego Luna']",1,1
557,7.8,Mary Poppins,APPROVED,Comedy,139,"[u'Julie Andrews', u'Dick Van Dyke', u'David Tomlinson']",1,1
578,7.8,As Good as It Gets,PG-13,Comedy,139,"[u'Jack Nicholson', u'Helen Hunt', u'Greg Kinnear']",1,1
150,8.2,Incendies,R,Drama,139,"[u'Lubna Azabal', u'M\xe9lissa D\xe9sormeaux-Poulin', u'Maxim Gaudette']",1,1
529,7.8,Apocalypto,R,Action,139,"[u'Gerardo Taracena', u'Raoul Trujillo', u'Dalia Hern\xe1ndez']",1,1
9,8.9,Fight Club,R,Drama,139,"[u'Brad Pitt', u'Edward Norton', u'Helena Bonham Carter']",1,1
976,7.4,Master and Commander: The Far Side of the World,PG-13,Action,138,"[u'Russell Crowe', u'Paul Bettany', u'Billy Boyd']",1,1
865,7.5,A Perfect World,PG-13,Crime,138,"[u'Kevin Costner', u'Clint Eastwood', u'Laura Dern']",1,1
813,7.6,The Natural,PG,Drama,138,"[u'Robert Redford', u'Robert Duvall', u'Glenn Close']",1,1
95,8.4,All About Eve,APPROVED,Drama,138,"[u'Bette Davis', u'Anne Baxter', u'George Sanders']",1,1
203,8.1,8 1/2,NOT RATED,Drama,138,"[u'Marcello Mastroianni', u'Anouk Aim\xe9e', u'Claudia Cardinale']",1,1
365,8.0,Mystic River,R,Crime,138,"[u'Sean Penn', u'Tim Robbins', u'Kevin Bacon']",1,1
337,8.0,All the President's Men,R,Drama,138,"[u'Dustin Hoffman', u'Robert Redford', u'Jack Warden']",1,1
716,7.6,A Few Good Men,R,Drama,138,"[u'Tom Cruise', u'Jack Nicholson', u'Demi Moore']",1,1
112,8.3,L.A. Confidential,R,Crime,138,"[u'Kevin Spacey', u'Russell Crowe', u'Guy Pearce']",1,1
526,7.8,Zulu,UNRATED,Drama,138,"[u'Stanley Baker', u'Jack Hawkins', u'Ulla Jacobsson']",1,1
244,8.1,Shutter Island,R,Mystery,138,"[u'Leonardo DiCaprio', u'Emily Mortimer', u'Mark Ruffalo']",1,1
932,7.4,Harry Potter and the Order of the Phoenix,PG-13,Adventure,138,"[u'Daniel Radcliffe', u'Emma Watson', u'Rupert Grint']",1,1
249,8.1,Sleuth,PG,Mystery,138,"[u'Laurence Olivier', u'Michael Caine', u'Alec Cawthorne']",1,1
75,8.4,Aliens,R,Action,137,"[u'Sigourney Weaver', u'Michael Biehn', u'Carrie Henn']",1,1
634,7.7,Close Encounters of the Third Kind,PG,Drama,137,"[u'Richard Dreyfuss', u'Fran\xe7ois Truffaut', u'Teri Garr']",1,1
56,8.5,The Lives of Others,R,Drama,137,"[u'Ulrich M\xfche', u'Martina Gedeck', u'Sebastian Koch']",1,1
808,7.6,The Fisher King,R,Comedy,137,"[u'Jeff Bridges', u'Robin Williams', u'Adam Bryant']",1,1
354,8.0,Kill Bill: Vol. 2,R,Action,137,"[u'Uma Thurman', u'David Carradine', u'Michael Madsen']",1,1
45,8.5,Terminator 2: Judgment Day,R,Action,137,"[u'Arnold Schwarzenegger', u'Linda Hamilton', u'Edward Furlong']",1,1
770,7.6,A Royal Affair,R,Drama,137,"[u'Alicia Vikander', u'Mads Mikkelsen', u'Mikkel Boe F\xf8lsgaard']",1,1
301,8.0,Furious 7,PG-13,Action,137,"[u'Vin Diesel', u'Paul Walker', u'Dwayne Johnson']",1,1
442,7.9,Walk the Line,PG-13,Biography,136,"[u'Joaquin Phoenix', u'Reese Witherspoon', u'Ginnifer Goodwin']",1,1
289,8.1,All Quiet on the Western Front,UNRATED,Drama,136,"[u'Lew Ayres', u'Louis Wolheim', u'John Wray']",1,1
